# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr rormax rormax_uerr rormax_lerr
5792202 3 5 0.189800 1.202300 31.330461 499.473380 14259.420403 11.796208 1.880492 2.120235 0.132220 0.021078 0.023765
5794379 0 2 0.003190 0.187100 0.080402 36.065882 116287.644538 41.019816 4.842238 3.191235 0.547579 0.064640 0.042600
5794570 0 2 0.004209 0.060300 0.100580 5.448321 124247.700129 43.496842 3.799556 4.641524 0.440136 0.038447 0.046967
5809890 0 2 0.003562 0.036700 0.086442 2.853134 86508.531437 31.289919 3.125527 3.617074 0.374070 0.037366 0.043242
5856571 0 2 0.007780 0.341200 0.276961 80.410378 137327.998165 48.300524 3.814012 4.647779 0.264383 0.020877 0.025441
5866724 0 2 0.006622 0.068200 0.177400 5.859936 131927.494431 46.717750 4.358138 4.679639 0.300434 0.028026 0.030094
5866724 1 3 0.035000 0.084800 2.154911 8.131214 2438.918011 12.969472 1.797288 1.953148 0.083405 0.011558 0.012560
5880320 0 2 0.006780 0.078500 0.208122 8.193451 109786.684141 39.401898 4.174994 3.528811 0.247478 0.026223 0.022164
5880320 1 3 0.054700 0.101900 4.757961 12.109687 673.296900 13.642428 2.599808 2.594112 0.085686 0.016329 0.016293
5880320 2 4 0.078500 0.144700 8.193451 20.497276 640.791191 13.336807 2.309788 1.940080 0.083767 0.014507 0.012185
5881813 0 2 0.006757 0.438200 0.210139 109.646995 163351.630293 55.456751 7.223577 4.653332 0.349515 0.045526 0.029328
5903749 0 2 0.004585 0.132500 0.122217 18.976329 134492.549537 47.189353 4.331399 4.524979 0.438273 0.040228 0.042026
5941160 0 2 0.004255 0.088300 0.108194 10.222157 126397.218239 44.358382 4.997408 4.270731 0.443948 0.050015 0.042742
5942808 0 2 0.003827 0.037100 0.097298 2.935362 81608.137978 29.684680 3.215526 2.761872 0.330301 0.035779 0.030731
5956342 0 2 0.004962 0.124300 0.136011 17.029028 133290.172163 46.542790 5.209193 4.554785 0.399453 0.044708 0.039091
