# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr
3732821 0 1 0.003590 0.101000 331787.816613 13.734741 112764.816008 40.208361 3.974796 3.723920
3733628 0 1 0.003083 0.098000 279072.092422 13.899632 103467.043278 36.564991 4.767358 3.528870
3734418 0 1 0.003618 0.045700 319164.380578 3.975996 95917.985962 34.547750 3.915838 3.639579
3734418 1 2 0.045700 0.064100 3.975996 6.625478 91.683968 12.044649 4.860441 3.219556
3745559 0 1 0.005399 0.204300 468398.473204 30.254119 203277.271136 68.847853 5.805098 7.244468
3745690 0 1 0.004716 0.027500 444158.917772 1.732346 62440.140880 23.673940 2.862958 1.895363
3745690 1 2 0.027500 0.069800 1.732346 7.025741 2109.879362 12.911973 2.385308 2.153203
3745690 2 3 0.069800 0.108100 7.025741 13.540575 223.774340 13.989377 3.146687 2.351246
3747817 0 1 0.003725 0.109500 321995.641190 14.237842 134971.555548 46.959985 4.694867 3.896499
3747817 1 2 0.109500 0.604500 14.237842 184.772710 10823.454740 12.075438 1.883012 2.257359
3748239 0 1 0.029893 0.554800 5088183.281397 112.951287 247743.318356 80.023971 7.116817 9.404216
3749134 0 1 0.005218 0.098800 494093.395614 11.301230 140711.644136 48.897829 4.569491 4.349094
3749365 0 1 0.002339 0.025000 203462.390810 1.973761 58370.080264 22.881515 2.687814 2.643805
3749978 0 1 0.004046 0.179300 348093.309572 28.505722 158512.410449 54.736956 5.953343 5.590831
3751118 0 1 0.004753 0.445400 410007.104217 103.363691 198918.746825 67.030390 6.134520 6.988202
3752110 0 1 0.005813 0.197500 508317.955622 27.943024 211568.669321 68.690978 8.302202 5.666860
3756264 0 1 0.004158 0.073800 354609.606170 7.362721 135291.607256 47.095324 4.976105 4.258038
3756801 0 1 0.006715 1.104300 721749.892386 422.917678 186104.041047 62.129567 7.564260 4.258283
3758922 0 1 0.004446 0.134600 383486.238785 17.741230 162740.458895 54.191141 7.893898 4.691881
3831053 0 1 0.008255 0.067400 948393.246469 6.149559 99212.170139 36.489254 4.295670 4.128818
3833007 0 1 0.003711 0.120100 315460.742704 16.217749 141671.053565 49.706004 4.424270 4.124388
3834728 0 1 0.003148 0.882600 276301.629921 359.986530 132867.727787 46.617027 3.139873 4.123483
